id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,result
17,2016,2016-04-10,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,10,Deepak Pooran,normal
18,2016,2016-04-11,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Mumbai Indians,0,4,Ravindra Bairstow,normal
19,2016,2016-04-12,Chennai Super Kings,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",Chennai,Mumbai Indians,field,Mumbai Indians,33,0,Mohammed Labuschagne,tie
20,2016,2016-04-13,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Mohali,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0,8,Marnus Buttler,normal
21,2016,2016-04-14,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Royal Challengers Bangalore,0,5,Shardul Livingstone,normal
22,2016,2016-04-15,Royal Challengers Bangalore,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Royal Challengers Bangalore,bat,Punjab Kings,0,1,Ravindra Stoinis,normal
23,2016,2016-04-16,Royal Challengers Bangalore,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,36,0,Ishan Gill,tie
24,2016,2016-04-17,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Mohali,Kolkata Knight Riders,field,Punjab Kings,0,5,Prithvi Yadav,normal
25,2016,2016-04-18,Punjab Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Chennai,Rajasthan Royals,bat,Punjab Kings,6,0,Aiden Chahar,normal
26,2016,2016-04-19,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,bat,Punjab Kings,0,2,Sanju Cummins,normal
27,2016,2016-04-20,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,bat,Rajasthan Royals,51,0,Jos Rahane,normal
28,2016,2016-04-21,Rajasthan Royals,Sunrisers Hyderabad,"Ekana Cricket Stadium, Lucknow",Lucknow,Sunrisers Hyderabad,field,Sunrisers Hyderabad,30,0,Pat Bumrah,tie
29,2016,2016-04-22,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,bat,Punjab Kings,46,0,Ravichandran Russell,normal
30,2016,2016-04-23,Chennai Super Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Chennai,Rajasthan Royals,bat,Chennai Super Kings,4,0,Pat Chahal,normal
31,2016,2016-04-24,Rajasthan Royals,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Rajasthan Royals,field,Rajasthan Royals,59,0,Virat Ashwin,normal
32,2016,2016-04-25,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,0,3,Kane Shaw,normal
33,2016,2016-04-26,Royal Challengers Bangalore,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Delhi Capitals,bat,Royal Challengers Bangalore,0,2,Mohammed Rahane,normal
34,2016,2016-04-27,Chennai Super Kings,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Delhi Capitals,bat,Delhi Capitals,15,0,Mohammed Williamson,normal
35,2016,2016-04-28,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,field,Delhi Capitals,0,3,Kane Rabada,normal
36,2016,2016-04-29,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai,Rajasthan Royals,field,Mumbai Indians,0,3,Marnus Ashwin,normal
37,2016,2016-04-30,Royal Challengers Bangalore,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Mumbai Indians,bat,Mumbai Indians,0,2,Faf Iyer,normal
38,2016,2016-05-01,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,0,1,Alex Chahar,normal
39,2016,2016-05-02,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,0,5,Tim Russell,normal
40,2016,2016-05-03,Kolkata Knight Riders,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Chennai Super Kings,field,Kolkata Knight Riders,0,1,Mitchell Starc,normal
41,2016,2016-05-04,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mohali,Mumbai Indians,field,Punjab Kings,0,1,Tim Lynn,normal
42,2016,2016-05-05,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Kolkata Knight Riders,20,0,Pat Labuschagne,normal
43,2016,2016-05-06,Rajasthan Royals,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Mohali,Rajasthan Royals,bat,Rajasthan Royals,22,0,Glenn Pooran,normal
44,2016,2016-05-07,Royal Challengers Bangalore,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Quinton Bumrah,normal
45,2016,2016-05-08,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,field,Mumbai Indians,0,2,Liam Jadeja,normal
46,2016,2016-05-09,Kolkata Knight Riders,Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Jaipur,Kolkata Knight Riders,field,Royal Challengers Bangalore,0,6,Alex Behrendorff,normal
47,2016,2016-05-10,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,1,Aiden Starc,normal
48,2016,2016-05-11,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders,66,0,Axar Chahar,normal
49,2016,2016-05-12,Delhi Capitals,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Mohali,Kolkata Knight Riders,bat,Delhi Capitals,83,0,Axar Rahane,normal
50,2016,2016-05-13,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata,Rajasthan Royals,bat,Kolkata Knight Riders,0,10,Nicholas Labuschagne,normal
51,2016,2016-05-14,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Chennai Super Kings,0,6,Jos Sundar,normal
52,2016,2016-05-15,Chennai Super Kings,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata,Royal Challengers Bangalore,field,Chennai Super Kings,0,4,Jasprit Samson,normal
53,2016,2016-05-16,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,0,7,Marnus du Plessis,normal
54,2016,2016-05-17,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai,Kolkata Knight Riders,field,Kolkata Knight Riders,16,0,Ben Starc,normal
55,2016,2016-05-18,Delhi Capitals,Royal Challengers Bangalore,"M. A. Chidambaram Stadium, Chennai",Chennai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,96,0,Virat Pandya,normal
56,2016,2016-05-19,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi,Punjab Kings,field,Delhi Capitals,3,0,Axar Rahane,normal
57,2017,2017-03-25,Chennai Super Kings,Punjab Kings,"Punjab Cricket Association Stadium, Mohali",Mohali,Chennai Super Kings,bat,Chennai Super Kings,6,0,Hardik Russell,normal
58,2017,2017-03-26,Chennai Super Kings,Delhi Capitals,"M. A. Chidambaram Stadium, Chennai",Chennai,Delhi Capitals,field,Delhi Capitals,3,0,Tim Shami,normal
59,2017,2017-03-27,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,bat,Kolkata Knight Riders,0,2,Nicholas Labuschagne,normal
60,2017,2017-03-28,Rajasthan Royals,Royal Challengers Bangalore,"M. A. Chidambaram Stadium, Chennai",Chennai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,5,0,Ishan Gill,normal
61,2017,2017-03-29,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,25,0,Alex Sundar,normal
62,2017,2017-03-30,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,2,Alex Chahal,normal
63,2017,2017-03-31,Kolkata Knight Riders,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Rajasthan Royals,bat,Kolkata Knight Riders,31,0,Bhuvneshwar Kishan,normal
64,2017,2017-04-01,Chennai Super Kings,Rajasthan Royals,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,bat,Rajasthan Royals,0,3,Ben Bumrah,normal
65,2017,2017-04-02,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,Punjab Kings,field,Rajasthan Royals,0,2,Jos Rahane,normal
66,2017,2017-04-03,Mumbai Indians,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi,Mumbai Indians,bat,Mumbai Indians,0,10,Chris Ashwin,normal
67,2017,2017-04-04,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,bat,Chennai Super Kings,34,0,Jason Rahane,normal
68,2017,2017-04-05,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,bat,Punjab Kings,20,0,Andre Chahar,normal
69,2017,2017-04-06,Delhi Capitals,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata,Delhi Capitals,field,Royal Challengers Bangalore,9,0,Ishan Gill,normal
70,2017,2017-04-07,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,field,Punjab Kings,0,1,Aiden Chahar,normal
71,2017,2017-04-08,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Sunrisers Hyderabad,field,Sunrisers Hyderabad,9,0,Rashid Pujara,normal
72,2017,2017-04-09,Mumbai Indians,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Jaipur,Mumbai Indians,field,Mumbai Indians,27,0,Shreyas Pant,normal
73,2017,2017-04-10,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,bat,Kolkata Knight Riders,0,6,Axar Chahar,normal
74,2017,2017-04-11,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,bat,Punjab Kings,0,1,Axar Chahal,normal
75,2017,2017-04-12,Mumbai Indians,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,Punjab Kings,field,Punjab Kings,57,0,Jos Iyer,normal
76,2017,2017-04-13,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Jaipur,Mumbai Indians,bat,Mumbai Indians,0,6,Liam Yadav,normal
77,2017,2017-04-14,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Mohali,Kolkata Knight Riders,bat,Punjab Kings,0,10,David Jadeja,normal
78,2017,2017-04-15,Punjab Kings,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,field,Sunrisers Hyderabad,0,2,Ajinkya Rahane,normal
79,2017,2017-04-16,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,3,Marcus Labuschagne,normal
80,2017,2017-04-17,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Chennai Super Kings,field,Chennai Super Kings,36,0,Pat Chahal,normal
81,2017,2017-04-18,Mumbai Indians,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Mohali,Rajasthan Royals,field,Mumbai Indians,15,0,Ravindra Sundar,normal
82,2017,2017-04-19,Royal Challengers Bangalore,Delhi Capitals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,7,Ishan Stoinis,normal
83,2017,2017-04-20,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Jaipur,Sunrisers Hyderabad,field,Rajasthan Royals,0,10,Aiden Ashwin,normal
84,2017,2017-04-21,Kolkata Knight Riders,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,0,2,MS Smith,normal
85,2017,2017-04-22,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,6,0,Mitchell Thakur,normal
86,2017,2017-04-23,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata,Delhi Capitals,field,Kolkata Knight Riders,0,4,Hardik Warner,normal
87,2017,2017-04-24,Rajasthan Royals,Delhi Capitals,"Ekana Cricket Stadium, Lucknow",Lucknow,Delhi Capitals,field,Rajasthan Royals,1,0,Sam Williamson,normal
88,2017,2017-04-25,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Delhi Capitals,bat,Delhi Capitals,26,0,Marcus Thakur,normal
89,2017,2017-04-26,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians,0,3,Jasprit Dhoni,normal
90,2017,2017-04-27,Delhi Capitals,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mohali,Mumbai Indians,field,Mumbai Indians,0,2,Tim Pooran,normal
91,2017,2017-04-28,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi,Sunrisers Hyderabad,field,Sunrisers Hyderabad,40,0,Faf Samson,normal
92,2017,2017-04-29,Delhi Capitals,Punjab Kings,"Arun Jaitley Stadium, Delhi",Delhi,Punjab Kings,field,Delhi Capitals,0,2,Steve Rahane,normal
93,2017,2017-04-30,Chennai Super Kings,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Chennai Super Kings,bat,Royal Challengers Bangalore,0,2,Rohit Maxwell,normal
94,2017,2017-05-01,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata,Chennai Super Kings,field,Chennai Super Kings,0,2,Kuldeep Patel,normal
95,2017,2017-05-02,Royal Challengers Bangalore,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,2,KL Maxwell,normal
96,2017,2017-05-03,Delhi Capitals,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Kolkata Knight Riders,field,Delhi Capitals,16,0,Bhuvneshwar Williamson,normal
97,2017,2017-05-04,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata,Punjab Kings,field,Kolkata Knight Riders,73,0,Hardik Warner,normal
98,2017,2017-05-05,Chennai Super Kings,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Chennai Super Kings,0,1,Hardik Chahar,normal
99,2017,2017-05-06,Royal Challengers Bangalore,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Jaipur,Mumbai Indians,bat,Royal Challengers Bangalore,0,1,KL Rahul,normal
100,2017,2017-05-07,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,bat,Mumbai Indians,0,2,Marnus Ashwin,normal
101,2017,2017-05-08,Royal Challengers Bangalore,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,36,0,KL Rahul,normal
102,2017,2017-05-09,Chennai Super Kings,Sunrisers Hyderabad,"Ekana Cricket Stadium, Lucknow",Lucknow,Sunrisers Hyderabad,field,Chennai Super Kings,0,10,Ravichandran Shami,normal
103,2017,2017-05-10,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Kolkata Knight Riders,0,1,Ishan Rahane,normal
104,2017,2017-05-11,Royal Challengers Bangalore,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,24,0,KL Maxwell,normal
105,2017,2017-05-12,Kolkata Knight Riders,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai,Royal Challengers Bangalore,field,Royal Challengers Bangalore,23,0,Jasprit Cummins,normal
106,2017,2017-05-13,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,6,0,Virat Smith,normal
107,2017,2017-05-14,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,field,Mumbai Indians,0,10,Trent Khan,normal
108,2017,2017-05-15,Royal Challengers Bangalore,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Jaipur,Sunrisers Hyderabad,field,Royal Challengers Bangalore,2,0,Ishan Gill,normal
109,2017,2017-05-16,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi,Chennai Super Kings,bat,Delhi Capitals,0,4,Aiden Kohli,normal
110,2017,2017-05-17,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,field,Punjab Kings,0,10,David Jadeja,normal
111,2017,2017-05-18,Delhi Capitals,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",Jaipur,Delhi Capitals,field,Rajasthan Royals,0,7,Prithvi Kohli,normal
112,2017,2017-05-19,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,field,Rajasthan Royals,0,7,Ben Bumrah,normal
113,2018,2018-03-25,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata,Rajasthan Royals,field,Kolkata Knight Riders,69,0,Andre Starc,normal
114,2018,2018-03-26,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata,Kolkata Knight Riders,field,Sunrisers Hyderabad,0,4,Rashid Pujara,normal
115,2018,2018-03-27,Mumbai Indians,Punjab Kings,"Wankhede Stadium, Mumbai",Mumbai,Punjab Kings,bat,Mumbai Indians,7,0,Trent Maxwell,normal
116,2018,2018-03-28,Delhi Capitals,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Rajasthan Royals,bat,Rajasthan Royals,0,1,Axar Smith,normal
117,2018,2018-03-29,Chennai Super Kings,Kolkata Knight Riders,"M. A. Chidambaram Stadium, Chennai",Chennai,Chennai Super Kings,field,Kolkata Knight Riders,0,2,Nicholas Labuschagne,normal
118,2018,2018-03-30,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Jaipur,Mumbai Indians,field,Mumbai Indians,1,0,Kuldeep Rahane,normal
119,2018,2018-03-31,Delhi Capitals,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai,Delhi Capitals,bat,Punjab Kings,0,3,Andre Chahar,normal
120,2018,2018-04-01,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,0,10,Ajinkya Rahane,normal
121,2018,2018-04-02,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,1,Ben Pooran,normal
122,2018,2018-04-03,Mumbai Indians,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Jaipur,Chennai Super Kings,field,Mumbai Indians,0,3,Liam Yadav,normal
123,2018,2018-04-04,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,field,Kolkata Knight Riders,102,0,Marnus Chahar,normal
124,2018,2018-04-05,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Kolkata Knight Riders,37,0,Hardik Iyer,normal
125,2018,2018-04-06,Kolkata Knight Riders,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mohali,Kolkata Knight Riders,bat,Mumbai Indians,120,0,Trent Maxwell,normal
126,2018,2018-04-07,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mohali,Mumbai Indians,field,Mumbai Indians,0,1,Trent Sundar,normal
127,2018,2018-04-08,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,0,3,Rohit Maxwell,normal
128,2018,2018-04-09,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,3,0,Jos Rahane,normal
129,2018,2018-04-10,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,10,Hardik Warner,normal
130,2018,2018-04-11,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,field,Chennai Super Kings,0,6,Hardik Russell,normal
131,2018,2018-04-12,Royal Challengers Bangalore,Mumbai Indians,"M. A. Chidambaram Stadium, Chennai",Chennai,Mumbai Indians,bat,Mumbai Indians,0,1,Liam Yadav,normal
132,2018,2018-04-13,Royal Challengers Bangalore,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,61,0,MS Smith,normal
133,2018,2018-04-14,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",Delhi,Delhi Capitals,field,Delhi Capitals,11,0,Prithvi Yadav,normal
134,2018,2018-04-15,Kolkata Knight Riders,Punjab Kings,"M. A. Chidambaram Stadium, Chennai",Chennai,Punjab Kings,field,Kolkata Knight Riders,6,0,Sanju Pooran,normal
135,2018,2018-04-16,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai,Mumbai Indians,bat,Mumbai Indians,4,0,Mohammed Labuschagne,normal
136,2018,2018-04-17,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Mohali,Punjab Kings,field,Punjab Kings,0,2,Cheteshwar Ashwin,normal
137,2018,2018-04-18,Rajasthan Royals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi,Rajasthan Royals,field,Rajasthan Royals,0,2,Jason Labuschagne,normal
138,2018,2018-04-19,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Mohali,Sunrisers Hyderabad,field,Punjab Kings,0,1,Hardik Dhoni,normal
139,2018,2018-04-20,Rajasthan Royals,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan Royals,field,Rajasthan Royals,76,0,Marnus Gill,normal
140,2018,2018-04-21,Kolkata Knight Riders,Delhi Capitals,"M. A. Chidambaram Stadium, Chennai",Chennai,Kolkata Knight Riders,field,Delhi Capitals,28,0,Marcus Thakur,normal
141,2018,2018-04-22,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Mohali,Rajasthan Royals,field,Punjab Kings,0,2,Ravindra Stoinis,normal
